date,A,B,C
2022/1/1 0:00,872.1842105,2434.8,5783.103704
2022/1/1 1:00,589.9,1819.4,4645.33
2022/1/1 2:00,445.8,1479,3820.847351
2022/1/1 3:00,386.9,1254.6,3216.7
2022/1/1 4:00,350,1191,2982.846154
2022/1/1 5:00,337.1,1153,2876.484993
2022/1/1 6:00,358.7,1283.8,2929.4375
2022/1/1 7:00,458.2131579,1570.2,3419.78125
2022/1/1 8:00,637.6,2044.6,4503.55
2022/1/1 9:00,1047,2468.8,5379.7
2022/1/1 10:00,1353.5,2588.4,6027.9
2022/1/1 11:00,1481.1,2712.2,6496
2022/1/1 12:00,1449.8,2659.6,6493.4
2022/1/1 13:00,1438.6,2522.4,6095.3
2022/1/1 14:00,1270.5,2250.2,5584.1
2022/1/1 15:00,1177.4,2016.8,5416.5
2022/1/1 16:00,1231.4,2023.6,5501.9
2022/1/1 17:00,1533.1,2490.8,6420.4
2022/1/1 18:00,1781.6,3007.8,7041.1
2022/1/1 19:00,1808.4,3004.4,6915.2
2022/1/1 20:00,1688.759375,3101.6,7239.5
2022/1/1 21:00,1702.8,3416.6,7917.854217
2022/1/1 22:00,1559.2,3336,8405.8
2022/1/1 23:00,1435.036924,2502.35809,7075.833384
2022/1/2 0:00,765.75,2159.7,5483.535714
2022/1/2 1:00,530.05,1618.2,4295.7
2022/1/2 2:00,413.45,1333.4,3577.604652
2022/1/2 3:00,357.2,1153.2,2985.2
2022/1/2 4:00,341.178125,1078.1,2886.502188
2022/1/2 5:00,316,1062.2,2700.192889
2022/1/2 6:00,351.8,1195.5,2777.379167
2022/1/2 7:00,437.7,1459.6,3290.253125
2022/1/2 8:00,587.35,1862.464583,4279.35
2022/1/2 9:00,991.85,2196.5,5013
2022/1/2 10:00,1328.303226,2303.9,5415.55
2022/1/2 11:00,1371.15,2500.4,5553.45
2022/1/2 12:00,1341.7,2501.4,5405.615789
2022/1/2 13:00,1271.75,2298.9,4966.05
2022/1/2 14:00,1143.55,2068.705263,4507.8
2022/1/2 15:00,1091.35,1957.4,4374.6
2022/1/2 16:00,1152.665625,2042.8,4575.893902
2022/1/2 17:00,1407.75,2506.5,5494.05
2022/1/2 18:00,1639.6,2945.3,6293.95
2022/1/2 19:00,1702.55,2987,6374.95
2022/1/2 20:00,1626.1,3099.7,6789.3
2022/1/2 21:00,1640.1,3350.2,7520
2022/1/2 22:00,1394.9,3142.1,7589.65
2022/1/2 23:00,706.8,2284,5262.385714
2022/1/3 0:00,685.1,1884.6,5215.9
2022/1/3 1:00,470.2,1417,3988.7
2022/1/3 2:00,381.1,1187.8,3202.225532
2022/1/3 3:00,327.5,1051.8,2753.7
2022/1/3 4:00,292.2,965.2,2517.915789
2022/1/3 5:00,294.9,971.4,2500.705263
2022/1/3 6:00,344.9,1107.2,2601.3
2022/1/3 7:00,422.5,1349,3168.1
2022/1/3 8:00,537.1,1695.6,4065.4
2022/1/3 9:00,936.7,1924.2,4646.3
2022/1/3 10:00,1264.036842,2019.4,4803.2
2022/1/3 11:00,1261.2,2288.6,4610.9
2022/1/3 12:00,1233.6,2343.2,4312.4
2022/1/3 13:00,1104.9,2075.4,3836.8
2022/1/3 14:00,1016.6,1876.6,3431.5
2022/1/3 15:00,1005.3,1898,3332.7
2022/1/3 16:00,1075.4,2062,3642.9
2022/1/3 17:00,1282.4,2522.2,4567.7
2022/1/3 18:00,1497.6,2882.8,5546.8
2022/1/3 19:00,1596.7,2969.6,5834.7
2022/1/3 20:00,1563.8,3097.8,6339.1
2022/1/3 21:00,1577.4,3283.8,7129.7
2022/1/3 22:00,1230.6,2948.2,6773.5
2022/1/3 23:00,706.8,2284,5267.1
2022/1/4 0:00,478.6,1630.6,3868.514286
2022/1/4 1:00,320.4,1254.4,2909.9
2022/1/4 2:00,269,1039.8,2486.74897
2022/1/4 3:00,249,897,2139.8
2022/1/4 4:00,249.1,854.6,2048.001344
2022/1/4 5:00,248.9,875.2,2084.606635
2022/1/4 6:00,343,1187.2,2756.1
2022/1/4 7:00,528.6,1754,4045.1
2022/1/4 8:00,555.2,1616.8,3662.7
2022/1/4 9:00,756.7,1582.2,3488.1
2022/1/4 10:00,890.9,1529.2,3371.6
2022/1/4 11:00,875.3,1688.8,3740.7
2022/1/4 12:00,941.2,1760.8,3783.3
2022/1/4 13:00,849.3,1562.4,3299.7
2022/1/4 14:00,771,1363.4,2859.3
2022/1/4 15:00,777.3,1285.6,2879.9
2022/1/4 16:00,836.6,1344.4,3226.8
2022/1/4 17:00,1048.6,1774,4110.3
2022/1/4 18:00,1346.1,2416.2,5205.6
2022/1/4 19:00,1459.7,2521.2,5551
2022/1/4 20:00,1377.2,2613.2,5949.9
2022/1/4 21:00,1423.4,2839,6705.6
2022/1/4 22:00,1125.6,2688.8,6599.2
